IP地址,端口号,网络延迟,扫描方式,下载速度,数据中心,落地区域,地区,城市
172.64.32.178,443,171ms,HTTPing,37.71MB/s,SIN,SG,Asia Pacific,Singapore
162.159.16.98,443,174ms,HTTPing,37.17MB/s,SIN,SG,Asia Pacific,Singapore
104.18.38.23,443,172ms,HTTPing,36.83MB/s,SIN,SG,Asia Pacific,Singapore
172.64.42.36,443,190ms,HTTPing,34.57MB/s,SIN,SG,Asia Pacific,Singapore
162.159.6.95,443,171ms,HTTPing,34.38MB/s,SIN,SG,Asia Pacific,Singapore
162.159.40.91,443,184ms,HTTPing,28.25MB/s,SIN,SG,Asia Pacific,Singapore
162.159.42.138,443,176ms,HTTPing,27.53MB/s,SIN,SG,Asia Pacific,Singapore
162.159.62.103,443,175ms,HTTPing,27.11MB/s,SIN,SG,Asia Pacific,Singapore
104.18.34.98,443,173ms,HTTPing,23.51MB/s,SIN,SG,Asia Pacific,Singapore
162.159.19.255,443,184ms,HTTPing,22.68MB/s,SIN,SG,Asia Pacific,Singapore
162.159.36.90,443,166ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.40.246,443,169ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.46.82,443,170ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.144.171,443,174ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.35.146,443,174ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.34.166,443,176ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.36.86,443,177ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.37.6,443,177ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.47.47,443,177ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.147.227,443,177ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.25.201,443,178ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
173.245.59.122,443,178ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.39.227,443,179ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.20.72,443,180ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.21.136,443,180ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.17.5,443,181ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.2.223,443,181ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.33.78,443,181ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.42.198,443,182ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.15.152,443,182ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.27.168,443,182ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.45.93,443,183ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.41.135,443,184ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.44.13,443,184ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.46.110,443,184ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.157.48,443,184ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.41.122,443,184ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.7.123,443,185ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.9.17,443,185ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.11.210,443,186ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.48.132,443,186ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.8.27,443,186ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.155.118,443,186ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.49.249,443,186ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.22.147,443,187ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.24.192,443,187ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.58.144,443,189ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.61.194,443,190ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.156.118,443,192ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
104.18.32.48,443,193ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
172.64.33.188,443,193ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
162.159.26.230,443,194ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
8.35.211.77,443,198ms,HTTPing,,SIN,SG,Asia Pacific,Singapore
