[2026-09-13 20:17:18] [DEBUG] [CFST] 已生成 iata→cca2 映射（0 条）
IP,已发送,已接收,丢包率,平均延迟,下载速度,地区码,国家码
172.64.151.120,4,4,0.00,87.81,49.87,SIN,SIN
104.18.34.4,4,4,0.00,86.37,44.26,SIN,SIN
172.64.158.220,4,4,0.00,87.93,44.03,SIN,SIN
172.64.152.52,4,4,0.00,88.67,41.45,SIN,SIN
104.18.47.59,4,4,0.00,79.32,40.74,SIN,SIN
172.64.147.180,4,4,0.00,84.19,39.66,SIN,SIN
172.64.155.58,4,4,0.00,78.63,38.87,SIN,SIN
104.18.43.231,4,4,0.00,80.98,35.91,SIN,SIN
104.18.33.47,4,4,0.00,87.47,33.62,SIN,SIN
172.64.148.90,4,4,0.00,79.11,32.11,SIN,SIN
