ip:port,源IP位置,网络延迟,下载速度
43.108.46.150:8443,KR,122ms,46.79MB/s
134.185.99.52:443,KR,138ms,37.69MB/s
168.110.121.126:8443,KR,135ms,19.40MB/s
146.56.119.205:443,KR,134ms,17.38MB/s
110.10.178.240:443,KR,115ms,15.23MB/s
43.133.237.158:8443,KR,87ms,1.80MB/s
43.155.134.179:443,KR,94ms,1.67MB/s
168.107.56.181:443,KR,138ms,0.81MB/s
140.245.65.122:443,KR,139ms,未测速
123.111.169.70:443,KR,149ms,未测速
168.110.112.196:8443,KR,149ms,未测速
152.69.229.110:443,KR,151ms,未测速
168.107.40.4:8443,KR,165ms,未测速
129.154.50.72:8443,KR,171ms,未测速
134.185.127.173:443,KR,174ms,未测速
152.67.198.36:443,KR,178ms,未测速
152.67.214.155:443,KR,179ms,未测速
146.56.115.180:443,KR,181ms,未测速
134.185.114.16:443,KR,182ms,未测速
152.67.210.234:443,KR,201ms,未测速
54.180.141.246:443,KR,206ms,未测速
3.37.245.168:443,KR,238ms,未测速
152.67.208.47:443,KR,241ms,未测速
134.185.112.134:443,KR,258ms,未测速
64.176.226.26:8443,KR,365ms,未测速
158.247.253.111:8443,KR,371ms,未测速
158.247.224.240:443,KR,414ms,未测速
130.94.29.155:443,KR,425ms,未测速
168.110.107.218:443,KR,437ms,未测速
168.107.14.233:443,KR,442ms,未测速
158.247.240.138:443,KR,445ms,未测速
141.164.37.50:443,KR,448ms,未测速
158.247.210.172:443,KR,451ms,未测速
141.164.35.4:443,KR,459ms,未测速
193.122.119.241:443,KR,473ms,未测速
64.176.230.12:443,KR,521ms,未测速
141.164.42.2:443,KR,536ms,未测速
13.124.169.29:443,KR,556ms,未测速
141.164.49.98:443,KR,567ms,未测速
131.186.26.94:443,KR,577ms,未测速
146.56.167.171:443,KR,596ms,未测速
64.110.79.66:8443,KR,597ms,未测速
140.238.21.85:8443,KR,606ms,未测速
146.56.187.1:8443,KR,618ms,未测速
146.56.188.74:443,KR,620ms,未测速
152.70.239.74:443,KR,623ms,未测速
146.56.142.151:443,KR,626ms,未测速
140.238.15.158:443,KR,634ms,未测速
193.122.96.190:443,KR,786ms,未测速
146.56.135.196:443,KR,1502ms,未测速
132.145.91.181:8443,KR,1689ms,未测速
158.247.201.201:8443,KR,1720ms,未测速
158.247.222.168:443,KR,1898ms,未测速
129.154.197.113:443,KR,1940ms,未测速
