IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
149.28.140.125,443,true,0%,HTTPing,372ms,13.63MB/s,2401:c080:1400:6424:5400:6ff:fe79:b1f5,IPv6,149.28.140.125,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
207.148.79.171,443,true,0%,HTTPing,386ms,13.41MB/s,2401:c080:1400:16fc:5400:6ff:fe57:9336,IPv6,207.148.79.171,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
149.28.154.5,443,true,0%,HTTPing,387ms,11.48MB/s,2001:19f0:4400:639f:3eec:efff:feb9:c6ac,IPv6,149.28.154.5,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057130.000
45.32.100.162,443,true,0%,HTTPing,383ms,9.97MB/s,2001:19f0:4401:f64:5400:4ff:fe18:86c7,IPv6,45.32.100.162,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
149.28.153.207,443,true,0%,HTTPing,376ms,9.26MB/s,149.28.153.207,IPv4,149.28.153.207,SIN,SG,Asia Pacific,Singapore,AS20473,"The Constant Company, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
47.236.119.109,443,true,0%,HTTPing,131ms,0.13MB/s,47.236.119.109,IPv4,47.236.119.109,SIN,SG,Asia Pacific,Singapore,AS45102,"Alibaba (US) Technology Co., Ltd.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
89.28.239.43,443,true,0%,HTTPing,186ms,1.65MB/s,2a12:bec0:16f:2c8::,IPv6,89.28.239.43,SIN,SG,Asia Pacific,Singapore,AS212336,ByteVirt LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057132.000
47.131.189.221,443,true,0%,HTTPing,205ms,0.05MB/s,2406:da18:5db:b500:18cd:7da1:a593:b9bb,IPv6,47.131.189.221,SIN,SG,Asia Pacific,Singapore,AS16509,"Amazon.com, Inc.",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057133.000
185.115.207.149,443,true,0%,HTTPing,208ms,0.64MB/s,2a12:bec0:16f:2cc::,IPv6,185.115.207.149,SIN,SG,Asia Pacific,Singapore,AS212336,ByteVirt LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
185.115.207.141,443,true,0%,HTTPing,210ms,2.28MB/s,2a12:bec0:16f:104::,IPv6,185.115.207.141,SIN,SG,Asia Pacific,Singapore,AS212336,ByteVirt LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1790057129.000
