43.175.131.30:443#HK 30ms 105.29MB/s
146.56.235.170:8443#HK 71ms 22.42MB/s
175.29.23.179:443#HK 93ms 17.78MB/s
146.56.221.148:8443#HK 48ms 14.67MB/s
103.195.191.121:443#SG 118ms 20.96MB/s
195.172.139.40:443#SG 86ms 19.94MB/s
38.47.105.76:443#JP 54ms 23.27MB/s
87.86.22.186:443#JP 56ms 17.65MB/s
5.34.220.81:443#JP 258ms 6.20MB/s
179.253.246.93:8443#US 143ms 20.42MB/s
179.253.226.50:8443#US 149ms 18.97MB/s
179.255.108.180:443#US 140ms 16.97MB/s
179.255.105.243:443#US 142ms 16.61MB/s
144.34.237.48:8443#US 142ms 15.80MB/s
179.255.96.23:8443#US 141ms 14.29MB/s
43.164.134.99:443#KR 39ms 17.32MB/s
64.176.230.12:443#KR 209ms 16.05MB/s
