ip:port,源IP位置,网络延迟,下载速度
108.186.158.74:443,US,293ms,15.19MB/s
38.95.78.15:443,US,295ms,14.61MB/s
216.40.87.2:8443,US,295ms,14.51MB/s
45.78.79.132:443,US,299ms,13.93MB/s
192.155.85.108:8443,US,296ms,7.08MB/s
216.40.87.182:443,US,289ms,0.37MB/s
64.186.247.122:8443,US,299ms,未测速
144.225.255.169:443,US,299ms,未测速
38.95.79.5:443,US,300ms,未测速
179.253.238.82:8443,US,300ms,未测速
179.253.228.118:443,US,301ms,未测速
179.255.98.84:8443,US,301ms,未测速
179.253.246.191:8443,US,302ms,未测速
179.255.157.247:8443,US,303ms,未测速
38.181.44.56:443,US,303ms,未测速
179.255.121.254:8443,US,303ms,未测速
138.68.222.33:443,US,303ms,未测速
199.19.105.82:8443,US,304ms,未测速
179.253.254.98:8443,US,304ms,未测速
208.68.180.63:443,US,305ms,未测速
64.186.244.169:8443,US,305ms,未测速
150.230.40.142:2083,US,307ms,未测速
179.253.226.191:8443,US,307ms,未测速
107.170.249.50:443,US,307ms,未测速
107.170.248.68:443,US,308ms,未测速
208.68.180.91:443,US,309ms,未测速
179.253.254.80:8443,US,309ms,未测速
38.107.237.102:443,US,309ms,未测速
179.255.114.109:8443,US,309ms,未测速
154.17.3.200:2053,US,309ms,未测速
154.9.254.63:443,US,309ms,未测速
179.255.154.254:8443,US,310ms,未测速
216.40.85.94:443,US,310ms,未测速
107.170.246.220:443,US,310ms,未测速
208.68.180.244:8443,US,312ms,未测速
179.253.249.78:2087,US,312ms,未测速
103.91.219.19:443,US,312ms,未测速
216.40.86.110:8443,US,312ms,未测速
209.248.57.135:8443,US,313ms,未测速
179.255.102.55:8443,US,313ms,未测速
38.55.108.5:443,US,314ms,未测速
179.253.249.10:8443,US,315ms,未测速
107.174.141.201:443,US,316ms,未测速
156.232.9.90:8443,US,316ms,未测速
179.253.232.122:8443,US,316ms,未测速
192.204.62.245:443,US,316ms,未测速
208.68.180.72:8443,US,316ms,未测速
192.236.235.158:8443,US,316ms,未测速
179.255.144.153:443,US,317ms,未测速
154.17.11.190:8443,US,317ms,未测速
164.90.144.191:443,US,317ms,未测速
45.62.115.189:443,US,317ms,未测速
154.17.20.66:443,US,317ms,未测速
179.255.102.6:8443,US,317ms,未测速
154.29.145.201:443,US,318ms,未测速
172.247.244.74:443,US,318ms,未测速
45.202.240.235:8443,US,319ms,未测速
154.23.240.201:443,US,320ms,未测速
179.255.146.20:8443,US,320ms,未测速
38.55.111.161:443,US,321ms,未测速
64.186.255.143:8443,US,321ms,未测速
154.12.52.242:443,US,321ms,未测速
154.21.197.32:443,US,321ms,未测速
23.130.4.25:443,US,321ms,未测速
157.230.74.71:443,US,321ms,未测速
43.162.119.244:443,US,322ms,未测速
192.227.148.33:2053,US,322ms,未测速
38.34.18.34:443,US,322ms,未测速
138.197.209.118:443,US,323ms,未测速
188.255.157.153:443,US,323ms,未测速
103.91.219.6:8443,US,323ms,未测速
179.253.226.115:2053,US,323ms,未测速
138.68.9.159:443,US,323ms,未测速
179.253.233.126:8443,US,323ms,未测速
143.198.68.232:443,US,324ms,未测速
93.179.113.25:8443,US,324ms,未测速
154.9.243.154:443,US,324ms,未测速
198.46.147.54:443,US,324ms,未测速
23.82.96.105:443,US,325ms,未测速
179.255.112.9:8443,US,325ms,未测速
23.94.112.3:8443,US,325ms,未测速
179.255.96.23:8443,US,325ms,未测速
138.68.43.97:443,US,325ms,未测速
43.130.6.39:443,US,325ms,未测速
104.248.68.179:443,US,326ms,未测速
38.60.89.169:443,US,326ms,未测速
157.254.18.106:443,US,326ms,未测速
179.253.246.55:443,US,326ms,未测速
179.253.249.243:8443,US,326ms,未测速
179.255.105.243:443,US,326ms,未测速
208.68.180.136:8443,US,327ms,未测速
216.36.80.137:443,US,327ms,未测速
107.174.83.113:443,US,327ms,未测速
107.174.137.99:443,US,327ms,未测速
179.253.224.211:8443,US,328ms,未测速
24.199.113.20:443,US,328ms,未测速
167.172.197.64:443,US,328ms,未测速
179.255.125.239:8443,US,329ms,未测速
173.249.210.197:8443,US,329ms,未测速
154.17.16.219:8443,US,329ms,未测速
45.32.64.247:8443,US,330ms,未测速
179.255.145.42:8443,US,330ms,未测速
104.194.87.242:443,US,330ms,未测速
104.194.79.122:443,US,330ms,未测速
38.148.253.82:8443,US,331ms,未测速
38.148.253.135:8443,US,331ms,未测速
38.244.60.201:8443,US,331ms,未测速
38.64.57.20:443,US,331ms,未测速
97.64.27.251:2053,US,331ms,未测速
