43.175.131.30:443#HK 106ms 64.82MB/s
13.212.207.124:443#SG 135ms 32.51MB/s
216.23.123.92:443#JP 113ms 15.65MB/s
5.34.220.80:443#JP 130ms 12.95MB/s
92.113.124.143:443#JP 111ms 7.28MB/s
179.253.229.216:8443#US 314ms 14.59MB/s
179.253.232.219:8443#US 368ms 14.27MB/s
179.253.246.191:8443#US 317ms 14.83MB/s
179.255.106.180:8443#US 292ms 16.35MB/s
179.255.96.23:8443#US 315ms 14.04MB/s
208.68.180.91:443#US 345ms 12.50MB/s
209.209.58.159:443#US 355ms 14.29MB/s
152.69.229.110:443#KR 166ms 23.23MB/s
168.107.40.4:8443#KR 168ms 27.95MB/s
43.108.46.150:8443#KR 99ms 41.70MB/s
47.80.57.116:443#KR 101ms 44.54MB/s
